question_id,grade_level,question,choice_1,choice_2,correct_answer,correct_choice,user_choice,is_correct,response_time
1,Grade 2,18 + 13 =,29,31,31,choice_2,choice_1,False,3.22
2,Grade 3,97 - 63 =,34,37,34,choice_1,choice_2,False,4.99
3,Grade 4,30 - 28 =,0,2,2,choice_2,choice_1,False,5.69
4,Grade 5,49 - 23 =,26,25,26,choice_1,choice_2,False,6.16
5,Grade 3,112 + 22 =,134,135,134,choice_1,choice_2,False,9.13
6,Grade 5,48 - 34 =,14,15,14,choice_1,choice_1,True,7.2
7,Grade 5,93 - 80 =,13,16,13,choice_1,choice_1,True,4.43
8,Grade 3,20 * 3 =,59,60,60,choice_2,choice_2,True,6.49
9,Grade 4,29 + 105 =,134,136,134,choice_1,choice_1,True,3.72
10,Grade 5,4 * 2 =,8,10,8,choice_1,choice_2,False,7.15
11,Grade 1,19 - 18 =,2,1,1,choice_2,choice_1,False,8.78
12,Grade 5,88 + 66 =,155,154,154,choice_2,choice_1,False,8.67
13,Grade 5,67 - 20 =,46,47,47,choice_2,choice_2,True,3.34
14,Grade 4,17 * 6 =,102,105,102,choice_1,choice_2,False,4.37
15,Grade 4,4 * 12 =,48,46,48,choice_1,choice_2,False,6.23
16,Grade 5,88 + 91 =,179,178,179,choice_1,choice_2,False,8.27
17,Grade 4,86 + 141 =,227,230,227,choice_1,choice_1,True,9.88
18,Grade 5,20 * 7 =,138,140,140,choice_2,choice_2,True,3.77
19,Grade 1,4 + 15 =,18,19,19,choice_2,choice_2,True,6.93
20,Grade 4,65 - 39 =,26,29,26,choice_1,choice_1,True,3.61
21,Grade 5,8 * 10 =,80,78,80,choice_1,choice_2,False,8.15
22,Grade 5,74 - 17 =,58,57,57,choice_2,choice_2,True,3.63
23,Grade 1,2 + 20 =,22,20,22,choice_1,choice_1,True,8.07
24,Grade 1,18 + 19 =,39,37,37,choice_2,choice_2,True,5.95
25,Grade 1,12 - 5 =,8,7,7,choice_2,choice_2,True,6.55
26,Grade 2,4 + 11 =,15,17,15,choice_1,choice_1,True,5.34
27,Grade 5,139 + 44 =,183,181,183,choice_1,choice_1,True,5.07
28,Grade 1,19 + 14 =,32,33,33,choice_2,choice_2,True,9.06
29,Grade 1,2 + 6 =,7,8,8,choice_2,choice_2,True,9.89
30,Grade 3,103 + 72 =,173,175,175,choice_2,choice_1,False,7.82
31,Grade 1,9 - 2 =,5,7,7,choice_2,choice_1,False,6.7
32,Grade 2,11 + 15 =,24,26,26,choice_2,choice_1,False,6.23
33,Grade 5,84 - 61 =,25,23,23,choice_2,choice_2,True,4.68
34,Grade 2,11 + 12 =,23,25,23,choice_1,choice_2,False,7.03
35,Grade 4,42 - 10 =,32,31,32,choice_1,choice_1,True,8.59
36,Grade 5,96 - 47 =,50,49,49,choice_2,choice_1,False,7.52
37,Grade 4,16 * 9 =,144,143,144,choice_1,choice_1,True,5.46
38,Grade 1,3 + 11 =,14,17,14,choice_1,choice_2,False,6.22
39,Grade 1,15 + 11 =,26,25,26,choice_1,choice_1,True,5.39
40,Grade 4,111 + 92 =,203,202,203,choice_1,choice_2,False,9.25
41,Grade 3,16 * 10 =,160,159,160,choice_1,choice_1,True,6.66
42,Grade 5,82 - 42 =,43,40,40,choice_2,choice_2,True,5.76
43,Grade 3,23 - 10 =,16,13,13,choice_2,choice_1,False,3.53
44,Grade 1,13 - 11 =,3,2,2,choice_2,choice_2,True,4.42
45,Grade 2,1 + 1 =,2,1,2,choice_1,choice_1,True,7.75
46,Grade 1,12 + 7 =,20,19,19,choice_2,choice_1,False,5.79
47,Grade 5,129 + 22 =,154,151,151,choice_2,choice_1,False,6.62
48,Grade 5,2 * 12 =,24,27,24,choice_1,choice_2,False,4.69
49,Grade 4,29 + 60 =,92,89,89,choice_2,choice_2,True,8.54
50,Grade 4,135 + 88 =,223,225,223,choice_1,choice_2,False,7.12
51,Grade 5,35 - 25 =,8,10,10,choice_2,choice_2,True,3.81
52,Grade 2,12 + 5 =,15,17,17,choice_2,choice_2,True,3.85
53,Grade 2,4 + 8 =,14,12,12,choice_2,choice_1,False,6.37
54,Grade 5,119 + 52 =,169,171,171,choice_2,choice_1,False,5.53
55,Grade 3,8 * 9 =,72,71,72,choice_1,choice_1,True,9.73
56,Grade 3,19 * 2 =,38,40,38,choice_1,choice_1,True,8.88
57,Grade 4,109 + 26 =,135,137,135,choice_1,choice_2,False,7.89
58,Grade 2,3 - 2 =,1,2,1,choice_1,choice_1,True,8.21
59,Grade 2,11 + 12 =,23,21,23,choice_1,choice_2,False,6.67
60,Grade 3,9 * 10 =,92,90,90,choice_2,choice_2,True,7.68
61,Grade 5,4 * 10 =,40,42,40,choice_1,choice_2,False,9.77
62,Grade 4,40 + 22 =,62,65,62,choice_1,choice_1,True,9.76
63,Grade 4,131 + 145 =,279,276,276,choice_2,choice_1,False,9.19
64,Grade 2,15 - 14 =,1,0,1,choice_1,choice_1,True,8.9
65,Grade 3,30 - 15 =,14,15,15,choice_2,choice_2,True,8.82
66,Grade 4,29 + 40 =,69,70,69,choice_1,choice_2,False,5.04
67,Grade 4,24 - 14 =,10,13,10,choice_1,choice_1,True,5.84
