Age,Question,Correct_Response,Incorrect_Response
7,Say this sentence: 'The big dog ran fast.',D,Random word
2,Which word is longer: 'sun' or 'elephant'?,Dog,Wrong answer
4,How many syllables are in 'elephant'?,Hat,Wrong answer
3,Which word starts with the same letter as 'banana': 'dog' or 'ball'?,Dog,Mispronounced
7,"Say these words: 'ball, bat, bag'.",Hat,Mispronounced
3,How many syllables are in 'elephant'?,A,Gibberish
7,Spell the word 'cat'.,No,Mispronounced
7,Do these letters spell a word? 'H-A-T',Cat,Gibberish
7,Is 'flig' a real word?,Dog,Gibberish
6,What sound do you hear at the beginning of 'zebra'?,B,Gibberish
6,Which word rhymes with 'tree': 'bee' or 'rock'?,D,Gibberish
3,Spell the word 'cat'.,Cat,Mispronounced
5,Do 'cat' and 'bat' rhyme?,No,Mispronounced
6,Spell 'dog' out loud.,D,Gibberish
3,Which word has more syllables: 'happy' or 'hippopotamus'?,C,Mispronounced
5,Which word starts with the same letter as 'banana': 'dog' or 'ball'?,D,Wrong answer
5,Spell 'dog' out loud.,Yes,Mispronounced
3,Which one is an animal: 'giraffe' or 'table'?,B,Mispronounced
4,Say this sentence: 'I love to read books.',C,Mispronounced
4,"Say these words: 'ball, bat, bag'.",D,Gibberish
4,"Say these words: 'ball, bat, bag'.",Ball,Gibberish
3,Which one is an animal: 'giraffe' or 'table'?,D,Mispronounced
3,How many syllables are in 'elephant'?,Yes,Gibberish
7,Say this sentence: 'I love to read books.',Cat,Wrong answer
4,What is the first letter of 'apple'?,C,Random word
2,What sound do you hear at the beginning of 'zebra'?,D,Mispronounced
2,Do these letters spell a word? 'H-A-T',No,Mispronounced
4,Do these letters spell a word? 'H-A-T',C,Random word
4,Is 'flig' a real word?,D,Mispronounced
4,"Say these words: 'ball, bat, bag'.",Hat,Wrong answer
5,What is the first letter of 'apple'?,C,Wrong answer
7,Which word rhymes with 'tree': 'bee' or 'rock'?,Cat,Gibberish
4,Do these letters spell a word? 'H-A-T',C,Wrong answer
6,Do these letters spell a word? 'H-A-T',No,Random word
3,What sound do you hear at the beginning of 'zebra'?,Dog,Random word
6,Which word starts with the same letter as 'banana': 'dog' or 'ball'?,Hat,Wrong answer
6,Is 'flig' a real word?,B,Gibberish
4,Is 'flig' a real word?,Ball,Wrong answer
2,"Say these words: 'ball, bat, bag'.",Dog,Gibberish
2,Say this sentence: 'The big dog ran fast.',Dog,Wrong answer
