input_text,corrected_text,error_count,error_types,label
Ang sasakyan ay nakaparada sa labas,Ang sasakyan ay nakaparada sa labas,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Ang sasakyan ay nakaparada sa labas,1,grammar,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Ang aking kapatid ng naglalaro ng bola,Nakikita ko ang isang malaking puno,1,grammar,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Ang sasakyan ay nakaparada sa labas,Nakikita ko ang isang malaking puno,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Ang aking kapatid ng naglalaro ng bola,Nagbabasa siya ng libro,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Ang aking pusa ng napaka-cute,Naglalaro sila ng basketball,1,grammar,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Mahilig siyang mag-drawing,Pumunta kami sa zoo,1,spelling,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Ang araw ay sumisikat sa langit,1,grammar,dyslexic
Ang aking pusa ay napaka-cute,Ang aking pusa ay napaka-cute,0,none,non_dyslexic
Pumunta kami sa dalampasigan,Ang aking pusa ay napaka-cute,1,spelling,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang araw ay sumisikat sa langit,Nakikita ko ang isang bahaghari sa langit,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Pumunta kami sa dalampasigan,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang aking kapatid ay naglalaro ng bola,0,none,non_dyslexic
Ang mga bituin ay kumikislap sa gabi,Ang aking kapatid ay naglalaro ng bola,1,spelling,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Nakikita ko ang isang malaking puno,1,grammar,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Naglalaro kami ng bola,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang puno ng mataas at malakas,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Ang pusa ay tumatalon sa kama,Ang ibon ay lumilipad sa taas,1,spelling,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Ang mga bituin ay kumikislap sa gabi,Naglalaro sila ng basketball,1,spelling,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Ang aso ng tumatakbo sa parke,Pumunta kami sa zoo,1,grammar,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Siya ay kumakain ng mansanas,1,grammar,dyslexic
Ang mga bituin ay kumikislap sa gabi,Ang mga bituin ay kumikislap sa gabi,0,none,non_dyslexic
Siya ng kumakain ng mansanas,Ang mga bituin ay kumikislap sa gabi,1,grammar,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Ang puno ay mataas at malakas,1,grammar,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Ang araw ng sumisikat sa langit,Ang ibon ay lumilipad sa taas,1,grammar,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Ako ay tumatakbo ng mabilis,Nagbabasa siya ng libro,1,spelling,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Nagbabasa siya ng libro,Naglalaro sila ng basketball,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang mga bituin ay kumikislap sa gabi,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Ako ng tumatakbo ng mabilis,Ang ibon ay lumilipad sa taas,1,grammar,dyslexic
