question_type,left_number,right_number,correct_answer,user_answer,response_time_sec,at_risk
Choose the number closest to 10.,15,4,left,left,4.5,0
Which is bigger?,29,18,left,left,3.86,0
Choose the number closest to 10.,95,70,right,right,4.65,0
Which is smaller?,5,4,right,right,5.52,0
Which is bigger?,65,78,right,right,3.77,0
Which is bigger?,92,84,left,left,3.77,0
Which is smaller?,29,58,left,left,5.58,0
Which is bigger?,98,21,left,left,4.77,0
Which is smaller?,36,20,right,right,3.53,0
Which is smaller?,14,12,right,right,4.54,0
Which is smaller?,45,78,left,left,3.54,0
Which is bigger?,94,59,left,left,3.53,0
Which is smaller?,11,71,left,left,4.24,0
Choose the number closest to 10.,80,47,right,right,2.09,0
Choose the number closest to 10.,9,6,left,left,2.28,0
Which is smaller?,11,30,left,right,6.16,1
Which is smaller?,36,59,left,left,2.99,0
Which is smaller?,21,48,left,left,4.31,0
Choose the number closest to 10.,35,90,left,right,5.64,1
Choose the number closest to 10.,10,78,left,left,2.59,0
Choose the number closest to 10.,94,32,right,right,5.47,0
Which is smaller?,35,82,left,left,3.77,0
Which is bigger?,88,42,left,right,7.1,1
Which is bigger?,30,5,left,right,4.86,1
Which is smaller?,35,9,right,right,3.46,0
Choose the number closest to 10.,92,41,right,right,4.11,0
Which is smaller?,51,83,left,left,2.85,0
Which is smaller?,18,32,left,left,4.38,0
Choose the number closest to 10.,34,96,left,left,3.4,0
Choose the number closest to 10.,52,47,right,right,3.71,0
Which is bigger?,66,64,left,left,3.4,0
Which is bigger?,15,20,right,right,5.85,0
Choose the number closest to 10.,55,77,left,left,3.99,0
Which is smaller?,77,60,right,right,2.94,0
Choose the number closest to 10.,2,88,left,left,4.82,0
Choose the number closest to 10.,69,97,left,left,2.78,0
Choose the number closest to 10.,44,15,right,right,4.21,0
Which is bigger?,59,1,left,right,4.06,1
Choose the number closest to 10.,34,65,left,left,2.67,0
Choose the number closest to 10.,14,81,left,left,4.2,0
Choose the number closest to 10.,65,78,left,left,4.74,0
